,address,lat,lon
80,2801 N GANTENBEIN AVENUE PORTLAND OR,45.5437285,-122.6694917
81,705 N COLLEGE STREET ALBANY MO,40.2521195,-94.3254634
82,708 8TH ST ARMOUR SD,43.3252831,-98.34527489999999
83,23845 MCBEAN PKWY VALENCIA CA,34.3984849,-118.5532663
84,1111 W LA PALMA AVE ANAHEIM CA,33.8480384,-117.9335044
85,1100 NINTH AVENUE SEATTLE WA,47.6094886,-122.3279679
86,5640 N ADRIAN HIGHWAY ADRIAN MI,41.965546,-84.007531
87,200 HAWKINS DRIVE IOWA CITY IA,41.6585791,-91.54846239999999
88,25501 CHAGRIN BLVD BEACHWOOD OH,41.4650864,-81.49947689999999
89,2485 HIGHWAY 644 LOUISA KY,38.1142544,-82.60321189999999
90,1542 S BLOOMINGTON ST GREENCASTLE IN,39.621285,-86.8476013
91,654 CAMINO DE LOS MARES SAN CLEMENTE CA,33.4574842,-117.6499245
92,115 CASS AVENUE WOONSOCKET RI,42.0048858,-71.49542269999999
93,720 WOOD ST EUREKA CA,40.7809769,-124.1610467
94,1116 MILLIS AVE BOONVILLE IN,38.0418134,-87.26292099999999
95,2900 N RIVER RD WEST LAFAYETTE IN,40.4598167,-86.89336899999999
96,1200 NORTH SEVENTH STREET CHARITON IA,41.0279241,-93.3019923
97,1300 S JACKSON ST FRANKFORT IN,40.26959739999999,-86.5112609
98,300 W OTTLEY AVE FRUITA CO,39.1635088,-108.7373578
99,123 WG ACKER DR PICKENS SC,34.8749459,-82.7046809
