,address,coordinates
76,"3741 W 12600 S Ste 100, Riverton, UT 84065, USA","40.52039747,-111.9799142"
77,"XVFP+G65, Guayama, 00784, Puerto Rico","17.97355134,-66.11445435"
78,"1406 6th Ave N, St Cloud, MN 56303, USA","45.57466059,-94.16909113"
79,"1200 E Marshall St, Richmond, VA 23298, USA","37.54061191,-77.43045934"
80,"2021 Perdido St, New Orleans, LA 70112, USA","29.95665882,-90.08500462"
81,"191 Iowa Blvd, Trenton, MO 64683, USA","40.06786699,-93.58163967"
82,"901 Service Rd, Austin, TX 78745, USA","30.22593006,-97.77459614"
83,"1300 W 6th St Suite 100, San Pedro, CA 90732, USA","33.73901823,-118.3062738"
84,"14404 Stony Brook Blvd, Omaha, NE 68137, USA","41.19872696,-96.14001442"
85,"3219 Central Ave #200, Kearney, NE 68847, USA","40.70766371,-99.08158246"
86,"1220 E Woodland Ave, Barron, WI 54812, USA","45.39740962,-91.83952609"
87,"211 NE Skyline Dr, White Salmon, WA 98672, USA","45.72237924,-121.4705307"
88,"606 East Garfield Avenue, E Garfield Ave, Gettysburg, SD 57442, USA","45.01308489,-99.94779146"
89,"1245 N 10th St, Spearfish, SD 57783, USA","44.49779813,-103.855762"
90,"100 Townsend Ave, Berlin, NJ 08009, USA","39.78194799,-74.92034633"
91,"105 Red Bud Dr, Portland, TN 37148, USA","36.55742777,-86.51160143"
92,"10840 Texas Health Trail #250 76135, Fort Worth, TX 76244, USA","32.93068061,-97.30991228"
93,"12935 Gregory St, Blue Island, IL 60406, USA","41.65811419,-87.67783029"
94,"1400 VFW Pkwy, West Roxbury, MA 02132, USA","42.2746273,-71.17169802"
95,"1465 S Grand Blvd, St. Louis, MO 63104, USA","38.62172491,-90.23910389"
96,"2960 Sleepy Hollow Service Rd, Falls Church, VA 22044, USA","38.87008685,-77.1580785"
97,"125 Hospital Center Blvd #201, Stafford, VA 22554, USA","38.41525697,-77.40720772"
98,"2000 Scenic Dr, Georgetown, TX 78626, USA","30.62609475,-97.68871248"
99,"4500 W 69th St, Sioux Falls, SD 57108, USA","43.49094299,-96.78073418"
